"datasetid","doi"
3209,"10.1080/00040851.1981.12004259"
3210,"10.1080/00040851.1981.12004259"
3211,"10.1080/00040851.1981.12004259"
3212,"10.1080/00040851.1981.12004259"
3213,"10.1080/00040851.1981.12004259"
3214,"10.1080/00040851.1981.12004259"
3215,"10.1080/00040851.1981.12004259"
3216,"10.1080/00040851.1981.12004259"
3217,"10.1080/00040851.1981.12004259"
3218,"10.1080/00040851.1981.12004259"
3219,"10.1080/00040851.1981.12004259"
3220,"10.1080/00040851.1981.12004259"
3221,"10.1080/00040851.1981.12004259"
3222,"10.1080/00040851.1981.12004259"
3223,"10.1080/00040851.1981.12004259"
3224,"10.1080/00040851.1981.12004259"
3225,"10.1080/00040851.1981.12004259"
3226,"10.1080/00040851.1981.12004259"
3227,"10.1080/00040851.1981.12004259"
3228,"10.1080/00040851.1981.12004259"
3229,"10.1080/00040851.1981.12004259"
3230,"10.1080/00040851.1981.12004259"
3231,"10.1080/00040851.1981.12004259"
3232,"10.1080/00040851.1981.12004259"
3233,"10.1080/00040851.1981.12004259"
3234,"10.1080/00040851.1981.12004259"
3235,"10.1080/00040851.1981.12004259"
3236,"10.1080/00040851.1981.12004259"
3237,"10.1080/00040851.1981.12004259"
3238,"10.1080/00040851.1981.12004259"
3239,"10.1080/00040851.1981.12004259"
3240,"10.1080/00040851.1981.12004259"
3241,"10.1080/00040851.1981.12004259"
3242,"10.1080/00040851.1981.12004259"
3243,"10.1080/00040851.1981.12004259"
3244,"10.1080/00040851.1981.12004259"
3245,"10.1080/00040851.1981.12004259"
3246,"10.1080/00040851.1981.12004259"
3247,"10.1080/00040851.1981.12004259"
3248,"10.1080/00040851.1981.12004259"
3249,"10.1080/00040851.1981.12004259"
3250,"10.1080/00040851.1981.12004259"
3251,"10.1080/00040851.1981.12004259"
3252,"10.1080/00040851.1981.12004259"
3253,"10.1080/00040851.1981.12004259"
3254,"10.1080/00040851.1981.12004259"
3255,"10.1080/00040851.1981.12004259"
3256,"10.1080/00040851.1981.12004259"
3257,"10.1080/00040851.1981.12004259"
3258,"10.1080/00040851.1981.12004259"
3259,"10.1080/00040851.1981.12004259"
3260,"10.1080/00040851.1981.12004259"
3261,"10.1080/00040851.1981.12004259"
3262,"10.1080/00040851.1981.12004259"
3263,"10.1080/00040851.1981.12004259"
3264,"10.1080/00040851.1981.12004259"
3265,"10.1080/00040851.1981.12004259"
3266,"10.1080/00040851.1981.12004259"
3267,"10.1080/00040851.1981.12004259"
3268,"10.1080/00040851.1981.12004259"
3269,"10.1080/00040851.1981.12004259"
3270,"10.1080/00040851.1981.12004259"
3271,"10.1080/00040851.1981.12004259"
3272,"10.1080/00040851.1981.12004259"
3273,"10.1080/00040851.1981.12004259"
3274,"10.1080/00040851.1981.12004259"
3275,"10.1080/00040851.1981.12004259"
3276,"10.1080/00040851.1981.12004259"
3277,"10.1080/00040851.1981.12004259"
3278,"10.1080/00040851.1981.12004259"
3279,"10.1080/00040851.1981.12004259"
3280,"10.1080/00040851.1981.12004259"
3281,"10.1080/00040851.1981.12004259"
3282,"10.1080/00040851.1981.12004259"
3283,"10.1080/00040851.1981.12004259"
3284,"10.1080/00040851.1981.12004259"
3285,"10.1080/00040851.1981.12004259"
3286,"10.1080/00040851.1981.12004259"
3287,"10.1080/00040851.1981.12004259"
3288,"10.1080/00040851.1981.12004259"
3289,"10.1080/00040851.1981.12004259"
3290,"10.1080/00040851.1981.12004259"
3291,"10.1080/00040851.1981.12004259"
3292,"10.1080/00040851.1981.12004259"
3293,"10.1080/00040851.1981.12004259"
3294,"10.1080/00040851.1981.12004259"
3295,"10.1080/00040851.1981.12004259"
3296,"10.1080/00040851.1981.12004259"
3297,"10.1080/00040851.1981.12004259"
3298,"10.1080/00040851.1981.12004259"
3299,"10.1080/00040851.1981.12004259"
3300,"10.1080/00040851.1981.12004259"
3301,"10.1080/00040851.1981.12004259"
3302,"10.1080/00040851.1981.12004259"
3303,"10.1080/00040851.1981.12004259"
3304,"10.1080/00040851.1981.12004259"
3305,"10.1080/00040851.1981.12004259"
3306,"10.1080/00040851.1981.12004259"
3307,"10.1080/00040851.1981.12004259"
3308,"10.1080/00040851.1981.12004259"
3309,"10.1080/00040851.1981.12004259"
3310,"10.1080/00040851.1981.12004259"
3311,"10.1080/00040851.1981.12004259"
3312,"10.1080/00040851.1981.12004259"
3313,"10.1080/00040851.1981.12004259"
3314,"10.1080/00040851.1981.12004259"
3315,"10.1080/00040851.1981.12004259"
3315,"10.1038/sdata.2017.65"
3316,"10.1080/00040851.1981.12004259"
3316,"10.1038/sdata.2017.65"
3317,"10.1080/00040851.1981.12004259"
